KITCHEN_ID	UNIT_ID	COUNT
1B2B TYP1	W3030	2
1B2B TYP1	W3615	2
1B2B TYP1	W3015	1
1B2B TYP1	W3330	1
1B2B TYP1	B30	2
1B2B TYP1	SB36	1
1B2B TYP1	B33	1
1B2B TYP1	VSB24	1
1B2B TYP2	B30	1
1B2B TYP2	B33	1
1B2B TYP2	SB36	1
1B2B TYP2	W3030	1
1B2B TYP2	W3615	2
1B2B TYP2	W3330	1
1B2B TYP2	W3015	1
1B2B TYP2	VSB24	1
3BTYP1	W3930	2
3BTYP1	W3615	2
3BTYP1	W3015	1
3BTYP1	W2430	2
3BTYP1	B39	2
3BTYP1	B24	2
3BTYP1	VSB24	2
3BTYP1	SB36	1
3BTYP2	W3930	2
3BTYP2	W3615	1
3BTYP2	W2415	3
3BTYP2	B39	2
3BTYP2	SB36	1
3BTYP2	B12	1
3BTYP2	VSB24	2
